Make,Model,produce year,Color,fuel Type,gear Type,eng power,distance,Origin,Ad data push,price
Volkswagen,GTI,2012,Black Metallic ,Petrol ,Automatic,2000,80000,private ,20/09/2016,105000
Hyundai,Tucson,2007,Residential ,Diesel ,Automatic,2000,80000,private ,21/09/2016,65000
Hyundai,Velostr,2011,White ,Petrol ,Automatic,1600,80000,private ,21/09/2016,71000
Skoda,Rapid,2013,White ,Diesel ,manuel,1600,80000,private ,21/09/2016,88000
Skoda,Yeti,2013,Black Metallic ,Diesel ,Automatic,2000,80000,private ,24/09/2016,135000
VW,LT,2000,White Ivory ,Diesel ,manuel,2800,80000,Commercial ,24/09/2016,45000
Skoda,Octavia,2013,Silver ,Diesel ,manuel,1600,80000,private ,24/09/2016,107000
Hyundai,i30,2012,Silver ,Petrol ,Automatic,1600,80000,private ,25/09/2016,67000
Hyundai,Accent,2013,White ,Petrol ,Automatic,1400,80000,private ,25/09/2016,66000
Skoda,Octavia,2013,grey R ,Diesel ,manuel,1600,80000,private ,27/09/2016,100000
Skoda,Octavia,2012,grey R ,Diesel ,manuel,1600,82000,private ,20/09/2016,85000
Kia,Pride,2007,Silver ,Petrol ,Automatic,1600,83000,private ,24/09/2016,50000
Kia,Picanto,2011,Residential ,Petrol ,manuel,1250,83000,private ,24/09/2016,44000
Volkswagen,Jetta,2012,Gray ,Diesel ,Automatic,1600,83000,private ,26/09/2016,95000
Opel,Astra,2012,Silver ,Petrol ,manuel,1400,84000,private ,22/09/2016,65000
Skoda,Octavia,2013,White Ivory ,Diesel ,manuel,1600,85000,private ,21/09/2016,95000
Opel,Corsa,2015,Ferrani ,Petrol ,manuel,1400,85000,private ,21/09/2016,62000
Hyundai,Santaver,2013,Residential ,Diesel ,Automatic,2200,85000,private ,22/09/2016,137000
Hyundai,i30,2013,White Ivory ,Petrol ,Automatic,1600,85000,private ,24/09/2016,85000
Volkswagen,GTI,2012,White ,Petrol ,Automatic,2000,85000,private ,25/09/2016,9999
Fiat,Panda,2013,Black ,Petrol ,manuel,1250,86000,private ,21/09/2016,60000
Opel,Astra,2012,Ferrani ,Petrol ,manuel,1600,88000,private ,20/09/2016,68000
Hyundai,Accent,2011,Ferrani ,Petrol ,Automatic,1400,88000,private ,20/09/2016,63000
Subaru,ant,1983,White ,Petrol ,manuel,1600,88899,private ,25/09/2016,6500
Volkswagen,Polo Match 2013,2013,Silver ,Petrol ,Automatic,1400,89000,private ,20/09/2016,85500
Peugeot,307,2008,White ,Petrol ,Automatic,1600,89000,private ,24/09/2016,43000
VW,Touran,2013,White Ivory ,Diesel ,Automatic,1600,90000,private ,20/09/2016,100000
